source_id,local_path,needle,purpose,valid_for_claim,claim_allowed
SRC1275_0_1274_next,source-intake/mts_residuals/P8_Y5_R10_1274_NEXT_TARGET.csv,NEXT1274_0_1275,handoff into GR-style equation-difference attempt,False,False
SRC1275_1_1274_gr_route,source-intake/mts_residuals/P8_Y5_R10_1274_GR_STYLE_EQUATION_DIFFERENCE_ROUTE.csv,GED1274_4_best_next_test,selected equation-difference route,False,False
SRC1275_2_parent_origin,03-reciprocal-routing-parent-origin.md,if MTS simply imports G^t_t = G^r_r,guard against importing GR stress-balance equation,False,False
SRC1275_3_contract,04-vacuum-reciprocity-action-contract.md,"d/dr [ W(r,L,fields) dR_AB/dr ] = J_R",existing reciprocal-strain equation contract,False,False
SRC1275_4_theorem_attempt,05-reciprocity-theorem-attempt.md,S_R = integral dr [0.5 W(r) (R_AB')^2 + J_R R_AB].,finite reciprocal-strain action leaves charge/source clauses,False,False
SRC1275_5_source_neutrality,06-reciprocal-charge-source-neutrality.md,anisotropic/radial routing stress source,source neutrality and anisotropy gap,False,False
SRC1275_6_radial_closure,555-Y5-radial-closure-Cterm-zero-or-first-Hamiltonian-residual-fill.md,the GR/EH annulus closure route remains the target structure,GR/EH closure route kept as benchmark but not inherited,False,False
SRC1275_7_1268_action,1268-Y5-R10-RAB-second-class-auxiliary-compatibility-action-or-finite-ZR-source-row.md,CAC1268_5_conditional_theorem,auxiliary exact route remains conditional,False,False
SRC1275_8_1248_dirac,1248-Y5-R10-minimal-lambdaR-parent-action-ansatz-and-Dirac-check.md,DIR1248_2_preservation,parent H_core preservation still missing,False,False
SRC1275_9_validator,source-intake/mts_residuals/P8_Y5_R10_1269_ZR_INTAKE_VALIDATOR_SUMMARY.csv,NO_ACCEPTED_SOURCE_READY_ROWS,finite source rows remain absent,False,False
