source_file,exists,role
605-Y5-R10-parent-sector-charge-origin-or-unit-map-demotion.md,True,immediate 605 handoff
source-intake/mts_residuals/P8_Y5_BRR545_605_VALIDATION.csv,True,prior validation gate
source-intake/mts_residuals/P8_Y5_R10_605_UNIT_MAP_CHANNEL_DECISION.csv,True,R10 channel recommendation
601-Y5-R10-relative-Hodge-projector-or-compact-shell-unit-map.md,True,first compact-shell unit-map contract
source-intake/mts_residuals/P8_Y5_R10_601_COMPACT_SHELL_UNIT_MAP_SPEC.csv,True,compact-shell proxy and claim gate
563-Y5-R10-real-bound-curve-acquisition-and-alpha-row-smoke-runner.md,True,R10 anchor/smoke runner checkpoint
source-intake/local_bounds/R10_alpha_lambda_bound_curve_ANCHOR_SMOKE.csv,True,source-backed anchor-only non-claim bound rows
source-intake/local_bounds/R10_alpha_lambda_bound_curve_DIGITIZED.csv,True,live claim bound placeholder kept unchanged
source-intake/mts_residuals/R10_alpha_lambda_curve_MTS_source_normalization.csv,True,live MTS placeholder kept unchanged
source-intake/local_bounds/R10_alpha_lambda_bound_curve_VECTOR_2020_REVIEW_CANDIDATE.csv,True,review-candidate vector curve not promoted
559-Y5-R10-bound-curve-digitization-and-MTS-alpha-prediction-runner.md,True,runner lineage
562-Y5-R10-ZX-lambda-mass-gap-and-bound-curve-fill-or-theorem-zero.md,True,lambda and prefactor lineage
578-Y5-R10-lambda-X-mass-gap-and-product-coefficient-derivation-targets.md,True,mass-gap/product coefficient target
579-Y5-R10-parent-Hessian-source-charge-fill-or-theorem-zero-return.md,True,parent Hessian/source charge attempt
scripts/R10_alpha_lambda_bound_prediction_runner.py,True,existing comparator reused unchanged
scripts/Y5_R10_compact_shell_unit_map_channel_lock_and_input_template.py,True,this checkpoint generator
