source_file,exists,role
617-Y5-R10-field-space-normalization-beta-eigenvalue-owner-or-no-pole-return.md,True,617 immediate handoff
source-intake/mts_residuals/P8_Y5_BRR545_617_VALIDATION.csv,True,prior validation gate
source-intake/mts_residuals/P8_Y5_R10_617_NO_POLE_RETURN_GATE.csv,True,no-pole/source-zero return decision
581-Y5-R10-quotient-vertical-no-pole-parent-theorem-attempt.md,True,conditional no-pole theorem
source-intake/mts_residuals/P8_Y5_R10_581_NO_POLE_CERTIFICATE_TEMPLATE.csv,True,no-pole certificate obligations
582-Y5-R10-boundary-charge-and-constraint-algebra-no-pole-audit.md,True,boundary and Dirac algebra gate
source-intake/mts_residuals/P8_Y5_R10_582_NOPOLE_GATE_STATUS.csv,True,no-pole gate status
583-Y5-R10-parent-momentum-map-owner-or-edge-residual-demotion.md,True,momentum-map owner failure and edge demotion
590-Y5-R10-map-DCdagger-to-vertical-generator-or-fill-edge-row-source.md,True,DCdagger/Omega-flat vertical map
596-Y5-R10-test-Gamma-Khat-qloc-factor-through-pi-or-demote.md,True,quotient pullback lemma
source-intake/mts_residuals/P8_Y5_R10_596_QUOTIENT_PULLBACK_LEMMA.csv,True,vertical-blind q_loc pullback rows
598-Y5-R10-fill-q_loc-residual-runner-or-derive-first-zero-row.md,True,first direct-X zero row
source-intake/mts_residuals/P8_Y5_R10_598_FIRST_ZERO_ROW_DERIVATION.csv,True,closed direct-X smuggling row
599-Y5-R10-parent-projector-boundary-zero-or-compact-shell-score.md,True,projector/boundary residual status
613-Y5-R10-parent-matter-selector-theorem-or-finite-CX-envelope-lock.md,True,matter selector source-zero attempt
source-intake/mts_residuals/P8_Y5_R10_613_SELECTOR_CERTIFICATE_TEMPLATE.csv,True,qbar_XT selector certificate
source-intake/mts_residuals/P8_Y5_R10_617_NONCLAIM_SUMMARY.csv,True,finite branch demotion after beta law
scripts/Y5_R10_no_pole_source_zero_certificate_after_finite_branch_demotion.py,True,this checkpoint generator
