source_file,exists,role
577-Y5-R10-qbar-XT-finite-envelope-after-source-current-failure.md,True,finite qbar_XT product wall and next target
source-intake/mts_residuals/P8_Y5_BRR545_577_VALIDATION.csv,True,prior finite-envelope validation
source-intake/mts_residuals/P8_Y5_R10_577_NONCLAIM_SUMMARY.csv,True,qbar retained and finite product ceiling summary
source-intake/mts_residuals/P8_Y5_R10_564_HESSIAN_EXTRACTION_FORMULA.csv,True,parent Hessian extraction formula for Z_X and M_X^2
source-intake/mts_residuals/P8_Y5_R10_MASS_GAP_THEOREM_ZERO_GATE.csv,True,mass-gap and no-hair gate status
source-intake/mts_residuals/P8_Y5_R10_ZX_LAMBDA_PREFACtOR_FORMULA_REGISTER.csv,True,"static operator, lambda, Green profile, and prefactor formulas"
source-intake/mts_residuals/P8_Y5_R10_NUMERATOR_FACTOR_REGISTER.csv,True,source/test/projection numerator factors
source-intake/mts_residuals/P8_Y5_R10_577_QBAR_BUDGET_MATRIX.csv,True,qbar budgets from previous pressure wall
source-intake/local_bounds/R10_alpha_lambda_bound_curve_VECTOR_2020_REVIEW_CANDIDATE.csv,True,review-candidate curve for reverse lambda windows
source-intake/local_bounds/R10_alpha_lambda_bound_curve_DIGITIZED.csv,True,"live claim curve placeholder, expected claim-blocked"
