source_id,path,exists,role,valid_for_claim
doc_3429,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3429-Y5-R2FR-gapped-Y6-nohair-positive-operator-or-DeltaExtra-row-under-AX1090.md,True,handoff from gapped/Y6 no-hair theorem,False
gapped_channels_3429,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3429_GAPPED_CHANNEL_ROWS.csv,True,open hidden/projector channels from 3429,False
validation_3429,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_3429_VALIDATION.csv,True,prior checkpoint validation,False
extra_mass_3428,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3428_EXTRA_MASS_DECOMPOSITION.csv,True,Delta_extra channel decomposition,False
mu_extra_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_MU_EXTRA_CHANNEL_OWNER_LEDGER.csv,True,historic mu_extra channel owner ledger,False
mu_extra_zero_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_MU_EXTRA_ZERO_OWNER_GATE.csv,True,zero-owner gate conditions,False
domain_projector_coeffs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_mu_extra_domain_projector_coefficients.csv,True,domain/projector observable coefficient map,False
local_zero_premises,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_LOCAL_ZERO_EXTRA_PREMISE_REQUIREMENTS.csv,True,local-zero premise requirements,False
qcoh_projector_algebra,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_QCOH_PROJECTOR_ALGEBRA_THEOREM.csv,True,trace/coherent projector algebra,False
projector_stress_2407,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2407_PROJECTOR_VARIATION_STRESS_AUDIT.csv,True,projector stress variation audit,False
chainmap_2419,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2419_CHAINMAP_ZERO_GATE.csv,True,source-worldtube/projector chain-map gate,False
q_vertical_2420,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2420_Q_VERTICAL_NOPOLE_ROUTE_LEDGER.csv,True,q-vertical no-pole route ledger,False
readout_2418,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2418_READOUT_NO_REENTRY_GATE.csv,True,readout no-reentry gate,False
gamma_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_KHAT_QLOC_FIRST_VARIATION_CONTRACT.csv,True,Gamma/Khat/q_loc first variation contract,False
gamma_stress,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_KHAT_QLOC_STRESS_REWRITE.csv,True,Gamma/Khat/q_loc stress rewrite,False
gamma_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_KHAT_QLOC_RESIDUAL_OR_DEMOTION.csv,True,Gamma/Khat/q_loc residual demotion paths,False
response_doublet,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_RESPONSE_DOUBLET_EULER_SOURCE_LEDGER.csv,True,response/memory Euler source ledger,False
source_measure_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_SOURCE_MEASURE_MEFF_FLUX_RESIDUAL_MAP.csv,True,source-measure residual map,False
boundary_3427,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3427_BZERO_BOUND_ROWS.csv,True,reference/boundary flux rows,False
pc3400_3429,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3429_PC3400_4_UPDATE.csv,True,current no-extra-mass status,False
