source_id,source_path,required_anchor,purpose,exists,anchor_found,valid_for_claim,claim_allowed
SRC1380_0_1379_doc,1379-Y5-R10-RAB-gradient-completion-parent-signature-or-transition-closure-runner.md,NEXT1379_0_1380,1379 handoff to kappa/Z_m origin or shell-bound clause.,True,True,False,False
SRC1380_1_1379_next,source-intake/mts_residuals/P8_Y5_R10_1379_NEXT_TARGET.csv,NEXT1379_0_1380,machine-readable 1380 target.,True,True,False,False
SRC1380_2_1379_dimensional_lock,source-intake/mts_residuals/P8_Y5_R10_1379_KAPPA_DIMENSIONAL_LOCK.csv,KDL1379_0_action_density_match,symbolic kappa_m units and transition-length lock.,True,True,False,False
SRC1380_3_1379_closure_schema,source-intake/mts_residuals/P8_Y5_R10_1379_TRANSITION_CLOSURE_RUNNER_SCHEMA.csv,CRS1379_1_kappa_m,closure runner field requiring kappa_m.,True,True,False,False
SRC1380_4_1302_memory_stress,source-intake/mts_residuals/P8_Y5_R10_1302_MEMORY_STRESS_RESIDUAL_CONTRACT_NONCLAIM.csv,MSR1302_0_canonical_scalar_stress_form,canonical scalar stress row containing Z_m kinetic coefficient.,True,True,False,False
SRC1380_5_1302_fixed_field,source-intake/mts_residuals/P8_Y5_R10_1302_FIXED_FIELD_M_SIGNATURE_AUDIT.csv,FFA1302_5_verdict,m fixed-field parent status remains conditional.,True,True,False,False
SRC1380_6_1378_gradient_branch,source-intake/mts_residuals/P8_Y5_R10_1378_CONDITIONAL_GRADIENT_RELAXATION_BRANCH.csv,GRB1378_1_transition_length,ell_tr and support law from the conditional gradient branch.,True,True,False,False
SRC1380_7_802_shell,source-intake/mts_residuals/P8_Y5_R10_802_TRANSITION_SHELL_OBSTRUCTION.csv,TS802_0_direct_projection,transition shell direct-projection obstruction.,True,True,False,False
SRC1380_8_803_anticheat,source-intake/mts_residuals/P8_Y5_R10_803_TRANSITION_SHELL_ANTI_CHEAT_BOUND.csv,AC803_0_required_shell_suppression,anti-cheat shell suppression gate.,True,True,False,False
SRC1380_9_1171_boundary_nogo,source-intake/mts_residuals/P8_Y5_R10_1171_BOUNDARY_NO_GO_LEDGER.csv,NOG1171_0_neumann_gap,boundary no-go ledger for natural/Dirichlet/gauge/Bianchi shortcuts.,True,True,False,False
