source_file,exists,role
598-Y5-R10-fill-q_loc-residual-runner-or-derive-first-zero-row.md,True,immediate first-zero-row handoff
source-intake/mts_residuals/P8_Y5_BRR545_598_VALIDATION.csv,True,prior validation gate
source-intake/mts_residuals/P8_Y5_R10_598_RESIDUAL_RUNNER_STATUS.csv,True,open runner status
source-intake/mts_residuals/P8_Y5_R10_598_NEXT_INPUT_QUEUE.csv,True,projector/boundary next queue
597-Y5-R10-reduced-GK-action-owner-or-q_loc-residual-runner.md,True,reduced owner and runner trigger
source-intake/mts_residuals/P8_Y5_R10_597_WARD_ZERO_GATE.csv,True,Ward zero blockers
219-compact-shell-q_loc-source-projection-attempt.md,True,compact-shell q_loc projection and budget
220-Jrel-local-trivial-representative-or-closure-bound.md,True,J_rel exactness and compact-shell bound
581-Y5-R10-quotient-vertical-no-pole-parent-theorem-attempt.md,True,boundary charge and no-pole theorem conditions
582-Y5-R10-boundary-charge-and-constraint-algebra-no-pole-audit.md,True,boundary differentiability and Dirac audit
513-Gamma-Khat-q_loc-first-variation-or-demotion.md,True,q_loc stress divergence identity
514-construct-GK-stress-action-or-residual-bound.md,True,metric response action candidate
scripts/Y5_R10_parent_projector_boundary_zero_or_compact_shell_score.py,True,this checkpoint generator
