smoke_id,local_bound_row,observable,upper_bound,FM_residual,predicted_value,units,required_inputs,expected_status,valid_for_claim,generated_utc
SMK922_WEP,R1_WEP_source_charge,eta_WEP_source_charge,2.8e-15,eta_FM_AB,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_clock,R2_clock_redshift,alpha_clock_redshift,2.48e-05,alpha_clock_FM,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_gamma,R3_gamma,gamma_minus_1,2.3e-05,delta_gamma_FM,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_beta,R4_beta,beta_minus_1,7.8e-05,delta_beta_FM,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_alpha1,R5_alpha1,alpha1,1e-04,alpha1_FM,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_alpha2,R6_alpha2,alpha2,2e-09,alpha2_FM,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_alpha3,R7_alpha3,alpha3,4e-20,alpha3_FM,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_xi,R8_xi,xi,4e-09,xi_FM,MISSING_NUMERIC_RESIDUAL,dimensionless,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_Gdot,R9_Gdot,Gdot_over_G,9.6e-15,Gdot_FM_over_G,MISSING_NUMERIC_RESIDUAL,yr^-1,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
SMK922_R10,R10_fifth_force,delta_G_or_fifth_force_yukawa,alpha(lambda),alpha_FM(lambda_FM),MISSING_NUMERIC_RESIDUAL,range-dependent,K_BF_H;A_M_norm;dPiMJ_leak;projection_coefficient;source_path,blocked,false,2026-06-13T17:19:22.502315+00:00
