source_id,source_path,exists,needle,needle_found,role,valid_for_claim,generated_utc
SRC1048_0_1047_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1047_NEXT_TARGET.csv,true,1048-Y5-R10-no-extra-F2-no-mass-vertex-parent-action-signature-or-alpha-mass-bound-matrix.md,true,1047 handoff to no-extra-F2/no-mass-vertex parent signature.,false,2026-06-14T08:31:39.705071+00:00
SRC1048_1_1047_superselection,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1047_CONSTANT_SUPERSELECTION_THEOREM_ATTEMPT.csv,true,CST1047_5_verdict,true,Constant superselection theorem attempt and blocker.,false,2026-06-14T08:31:39.705393+00:00
SRC1048_2_1047_alpha,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1047_ALPHA_GAUGE_NORMALIZATION_AUDIT.csv,true,AGN1047_2_kinetic_normalization,true,Alpha gauge normalization audit retaining b_alpha.,false,2026-06-14T08:31:39.714844+00:00
SRC1048_3_1047_provenance,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1047_COEFFICIENT_PROVENANCE_ROWS.csv,true,CP1047_0_b_alpha,true,1047 coefficient provenance rows.,false,2026-06-14T08:31:39.715248+00:00
SRC1048_4_989_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_989_EM_LOCK_SIGNATURE_AUDIT.csv,true,ELA989_1_unique_F2,true,EM-lock signature audit and unique-F2 counterexample.,false,2026-06-14T08:31:39.715563+00:00
SRC1048_5_990_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_990_PARENT_ACTION_CONTRACT.csv,true,PAC990_3_EM_lock,true,Minimal parent action contract.,false,2026-06-14T08:31:39.715866+00:00
SRC1048_6_988_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_988_EM_LOCK_THEOREM_GATE.csv,true,EMLOCK988_4_no_alpha_vertex,true,EM-lock and no-alpha-vertex gate.,false,2026-06-14T08:31:39.716163+00:00
SRC1048_7_638_zero_route,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_638_CONSTANT_ZERO_ROUTE_ATTEMPT.csv,true,ZR638_2_particle_masses,true,Particle mass zero-route attempt.,false,2026-06-14T08:31:39.716472+00:00
SRC1048_8_clock_sensitivities,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_646_CLOCK_ALPHA_SENSITIVITY_SOURCE.csv,true,CAS646_1_YbE3E2,true,Clock sensitivity rows for alpha channel.,false,2026-06-14T08:31:39.716771+00:00
SRC1048_9_local_bounds,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\local_bound_claims.csv,true,R1_WEP_source_charge,true,"Local WEP/source, clock, PPN, and Gdot anchors.",false,2026-06-14T08:31:39.717065+00:00
SRC1048_10_R10_bound_candidate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\R10_alpha_lambda_bound_curve_1034_REVIEW_CANDIDATE_NONCLAIM.csv,true,R10_VECTOR_2020_REVIEW_0000,true,R10 nonclaim review-candidate curve for smoke only.,false,2026-06-14T08:31:39.718231+00:00
SRC1048_11_R10_runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\R10_alpha_lambda_bound_prediction_runner.py,true,MTS_REQUIRED_COLUMNS,true,Existing R10 runner and schema.,false,2026-06-14T08:31:39.718667+00:00
