gate_id,claim,passed,valid_for_claim,detail
CG4433_0_owner_contract,single action-scale/hbar/measure owner contract staged,True,False,Exact but parent unsigned.
CG4433_1_hbar_measure_gap,current phase seed leaves hbar/measure gap open,True,False,Do not promote phase seed to full action-scale owner.
CG4433_2_connected_route,connected naturality reduces to common mode plus hbar/measure gap,True,False,Naturality theorem is useful but parent graph/measure ownership unsigned.
CG4433_3_countermodel_retained,weighted action countermodel remains live,True,False,w_A S_A cannot be erased by classical EOM.
CG4433_4_common_mode_calibration,derivative-silent common mode is calibration only,True,False,No WEP/PPN/R10 differential residual from common mode.
CG4433_5_relative_mode_retained,relative action-scale mode remains finite,True,False,This is the first action-scale coefficient target.
CG4433_6_marker_common_scale_retained,marker-dependent common scale remains a non-WEP residual,True,False,Can become Gdot/range/fifth-force residual.
CG4433_7_K_common_nonclaim,common-mode K row is calibration-only nonclaim,True,False,Parent owner still unsigned.
CG4433_8_K_bound_only,effective action-scale product remains bound target only,True,False,No bound inversion.
CG4433_9_no_claim_outputs,4433 emits no local-GR/WEP/PPN/R10 claim,True,False,All rows remain private nonclaim rows.
