source_file,exists,role
580-Y5-R10-explicit-parent-X-block-ansatz-or-finite-residual-score.md,True,immediate no-pole route selection
source-intake/mts_residuals/P8_Y5_BRR545_580_VALIDATION.csv,True,prior validation gate
source-intake/mts_residuals/P8_Y5_R10_580_NONCLAIM_SUMMARY.csv,True,prior nonclaim summary
source-intake/mts_residuals/P8_Y5_R10_580_NOPOLE_OR_SOURCE_BRANCH_DECISION.csv,True,selected no-pole route and fallback branch
source-intake/mts_residuals/P8_Y5_R10_580_PARENT_BLOCK_CANDIDATES.csv,True,candidate parent X blocks
source-intake/mts_residuals/P8_Y5_R10_580_RESIDUAL_SCORE_TEMPLATE.csv,True,finite residual fallback template
source-intake/mts_residuals/P8_Y5_R10_579_SOURCE_CHARGE_DECOMPOSITION.csv,True,source/test charge functionals to be killed by no-pole theorem
410-quotient-matter-functor-theorem-attempt.md,True,quotient matter functor conditional theorem and counterexamples
414-local-quotient-invariant-algebra-triviality-gate.md,True,local invariant algebra burden
422-matter-functor-blindness-readout-after-variation-theorem-attempt.md,True,readout-after-variation no-cheat contract
423-parent-action-minimality-no-extension-theorem-attempt.md,True,no-extension/universal-property blocker
222-parent-X-sector-degree-count-and-boundary-action.md,True,first-order X route and boundary momentum
223-X-constraint-algebra-and-Khat-Gamma-constitutive-owner.md,True,multiplier constraint algebra and P owner blocker
235-projector-stress-variation-or-nohair-constraint-algebra.md,True,projector stress and no-hair rank/bracket tests
scripts/Y5_R10_quotient_vertical_no_pole_parent_theorem_attempt.py,True,this checkpoint generator
