identity_id,left,right,meaning,status,valid_for_claim,timestamp_utc
ID4861_0_hatp,0,0,public-frame c13,PASS,False,2026-07-10T02:15:00+01:00
ID4861_1_hatd,-d*p + d + p,-d*p + d + p,public-frame c1-c3,PASS,False,2026-07-10T02:15:00+01:00
ID4861_2_hatc14,2*d*p/(d + p),2*d*p/(d + p),acceleration kinetic coefficient,PASS,False,2026-07-10T02:15:00+01:00
ID4861_3_hatc123,-2*p**2/(3*(d + p)*(p - 1)),2*p**2/((1 - p)*(3*d + 3*p)),scalar kinetic combination,PASS,False,2026-07-10T02:15:00+01:00
ID4861_4_qS,-3*(d*p - d - p)/p**2,(-3*d*p + 3*d + 3*p)/p**2,public-frame scalar kinetic coefficient,PASS,False,2026-07-10T02:15:00+01:00
ID4861_5_cS,p/(3*d),p/(3*d),public-frame scalar speed,PASS,False,2026-07-10T02:15:00+01:00
ID4861_6_cV,-(d + p)*(d*p - d - p)/(4*d*p),(d + p)*(-d*p + d + p)/(4*d*p),public-frame vector speed,PASS,False,2026-07-10T02:15:00+01:00
ID4861_7_cT,1,1,public-frame tensor speed,PASS,False,2026-07-10T02:15:00+01:00
ID4861_8_a1,-8*d*p/(d + p),-8*d*p/(d + p),public-frame alpha1,PASS,False,2026-07-10T02:15:00+01:00
ID4861_9_a2,-d*(-3*d + p)/(d + p),d*(3*d - p)/(d + p),public-frame alpha2,PASS,False,2026-07-10T02:15:00+01:00
ID4861_10_G,1 - p,1 - p,public-frame cosmological/Newton ratio,PASS,False,2026-07-10T02:15:00+01:00
ID4861_11_a2max,-sqrt(3)*(-3 + 2*sqrt(3))*(-2 + sqrt(3))/3,7 - 4*sqrt(3),maximum alpha2 shape coefficient,PASS,False,2026-07-10T02:15:00+01:00
