source_id,path,exists,needle_check,role,valid_for_claim,generated_utc
893_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\893-Y5-R10-Ptr-rank-zero-parent-signature-or-Htr-principal-symbol-source-fill.md,true,pass,immediate finite H_tr source-fill handoff,false,2026-06-13T13:37:17.807965+00:00
893_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_893_VALIDATION.csv,true,pass,prior checkpoint validation,false,2026-06-13T13:37:17.807965+00:00
893_htr_fill,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_893_HTR_PRINCIPAL_SYMBOL_FILL.csv,true,pass,finite H_tr symbol-fill queue,false,2026-06-13T13:37:17.807965+00:00
876_trace_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\876-Y5-R10-trace-sector-ZT-lambdaT-parent-input-or-zero-return.md,true,pass,original trace Hessian extraction law,false,2026-06-13T13:37:17.807965+00:00
877_htr_skeleton,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\877-Y5-R10-parent-trace-Hessian-source-hunt-and-minimal-action-skeleton.md,true,pass,minimal H_tr skeleton and source hunt,false,2026-06-13T13:37:17.807965+00:00
880_endpoint_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\880-Y5-R10-minimal-Qtrace-Qstar-Kparent-action-contract-or-retained-cT-bound.md,true,pass,endpoint Hessian candidate and K_parent blocker,false,2026-06-13T13:37:17.807965+00:00
880_minimal_action_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_880_MINIMAL_ACTION_CONTRACT.csv,true,pass,K_parent extension blocker,false,2026-06-13T13:37:17.807965+00:00
885_htr_fill,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_885_HTR_ZERO_POLE_SOURCE_FILL.csv,true,pass,prior H_tr zero-pole/source fill row,false,2026-06-13T13:37:17.807965+00:00
891_trace_coefficients,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_891_TRACE_COEFFICIENT_SOURCE_ROWS.csv,true,pass,finite trace coefficient rows,false,2026-06-13T13:37:17.807965+00:00
892_trace_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_892_TRACE_HESSIAN_SOURCE_ROWS.csv,true,pass,trace Hessian source rows,false,2026-06-13T13:37:17.807965+00:00
382_parent_local_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\382-parent-local-action-minimal-contract.md,true,pass,"parent local action contract, not a trace Hessian",false,2026-06-13T13:37:17.807965+00:00
654_local_gr_spine,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\654-Y5-R10-local-GR-reduction-spine-under-explicit-WEP-closure.md,true,pass,local-GR/R10 gate status,false,2026-06-13T13:37:17.807965+00:00
