source_id,source_path,needle,role,status,valid_for_claim
SRC1859_0_1858_handoff,1858-Y5-R2FR-parent-constraint-package-no-GR-import-gate.md,NEXT1858_0_primary,handoff into motion-load/phase-volume parent-origin attempt,FOUND,False
SRC1859_1_phase_volume,08-phase-volume-reciprocity-origin.md,phase_volume_reciprocity_motivated_not_parent_derived,phase-volume route status,FOUND,False
SRC1859_2_hamiltonian_cell,09-hamiltonian-radial-cell-derivation.md,generic symplectic or Liouville phase-volume preservation does not derive p=1,Hamiltonian/Liouville obstruction,FOUND,False
SRC1859_3_observer_contract,10-observer-map-symplectic-contract.md,That is the exact missing theorem,observer-cell contract,FOUND,False
SRC1859_4_cell_current,11-cell-current-origin-attempt.md,cell_current_origin_no_charge_obstruction,ordinary cell-current no-charge obstruction,FOUND,False
SRC1859_5_gauge_noether,12-gauge-noether-origin-audit.md,gauge_noether_origin_not_derived_closure_only,gauge/Noether obstruction,FOUND,False
SRC1859_6_unimodular_cell,1274-Y5-R10-RAB-unimodular-radial-cell-constraint-origin-or-finite-residual-intake.md,CLOSURE_ONLY_NOT_DERIVED,unimodular radial-cell closure status,FOUND,False
SRC1859_7_equation_difference,1275-Y5-R10-RAB-GR-style-radial-field-equation-difference-or-local-closure-baseline.md,D_R[MTS] := E_time - E_radial,GR-style equation-difference contract,FOUND,False
SRC1859_8_parent_euler_contract,source-intake/mts_residuals/P8_Y5_R10_1276_PARENT_EULER_SOURCE_CONTRACT.csv,ESC1276_9_verdict,parent Euler/source-map contract,FOUND,False
SRC1859_9_extra_silence,1279-Y5-R10-RAB-A511-extra-sector-silence-double-zero-or-residual-vector.md,Gamma_eff/K_hat/q_loc,sharpest extra-sector blocker for EH/local-GR inheritance,FOUND,False
SRC1859_10_finite_backstop,1577-Y5-RAB-radial-observer-cell-current-or-finite-component-bound-fill.md,RADIAL_CURRENT_NO_CHARGE_THEOREM_FAILS_CURRENT_CORPUS,finite fallback after current/no-charge failure,FOUND,False
