source_id,path,absolute_path,role,needle,exists,needle_found,valid_for_claim,generated_utc
918_doc,918-Y5-R10-nonpropagating-mass-gauge-constraint-sector-or-DeltaHT-scorepack.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\918-Y5-R10-nonpropagating-mass-gauge-constraint-sector-or-DeltaHT-scorepack.md,identifies the A_M wedge Pi_M J_H matter-variation coupling as live blocker,The problem is the coupling,true,true,false,2026-06-13T17:01:46.916793+00:00
918_validation,source-intake/mts_residuals/P8_Y5_BRR545_918_VALIDATION.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_918_VALIDATION.csv,proves 918 handoff is clean and nonclaim,V918_11_validation_rows_ready,true,true,false,2026-06-13T17:01:46.916793+00:00
447_no_species_charge,447-no-species-source-charge-one-coframe-theorem-attempt.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\447-no-species-source-charge-one-coframe-theorem-attempt.md,one-coframe/no-species-source-charge conditional theorem and limits,current_corpus_status,true,true,false,2026-06-13T17:01:46.916793+00:00
449_Ward_current,449-source-current-Ward-universality-theorem-attempt.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\449-source-current-Ward-universality-theorem-attempt.md,Hilbert source current Ward universality and conservation limit,Ward_conservation_limit,true,true,false,2026-06-13T17:01:46.916793+00:00
520_Ward_closure,520-Y5-source-current-Ward-closure-or-bound-row.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\520-Y5-source-current-Ward-closure-or-bound-row.md,Ward conservation is necessary but insufficient for projected mass-current closure,Ward conservation alone does not prove,true,true,false,2026-06-13T17:01:46.916793+00:00
420_boundary_current,420-relative-current-boundary-generator-theorem-attempt.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\420-relative-current-boundary-generator-theorem-attempt.md,boundary-current generator route and stress-safe boundary warning,stress_safe_boundary,true,true,false,2026-06-13T17:01:46.916793+00:00
422_readout_after_variation,422-matter-functor-blindness-readout-after-variation-theorem-attempt.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\422-matter-functor-blindness-readout-after-variation-theorem-attempt.md,readout-after-variation no-cheat contract,readout_after_variation,true,true,false,2026-06-13T17:01:46.916793+00:00
491_no_linear_source,491-Yloc-no-linear-source-symmetry-or-closure.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\491-Yloc-no-linear-source-symmetry-or-closure.md,parent no-linear-source symmetry remains unsigned,Current derived MTS parent symmetry: not yet.,true,true,false,2026-06-13T17:01:46.916793+00:00
492_silence_auxiliary,492-silence-auxiliary-parent-action-construction-or-closure.md,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\492-silence-auxiliary-parent-action-construction-or-closure.md,silence auxiliary construction warns about reintroduced linear source,Doing both without reintroducing a linear source is the hard triangle.,true,true,false,2026-06-13T17:01:46.916793+00:00
no_species_contract,source-intake/mts_residuals/P8_no_species_source_charge_CONTRACT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_no_species_source_charge_CONTRACT.csv,machine-readable no-species/source-charge contract,S4_source_normalization_species_blind,true,true,false,2026-06-13T17:01:46.916793+00:00
Ward_current_contract,source-intake/mts_residuals/P8_source_current_Ward_universality_CONTRACT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_source_current_Ward_universality_CONTRACT.csv,machine-readable source-current Ward universality contract,SC2_Ward_conservation_on_matter_shell,true,true,false,2026-06-13T17:01:46.916793+00:00
owner_identity_contract,source-intake/mts_residuals/P8_Ward_source_owner_identity_CONTRACT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Ward_source_owner_identity_CONTRACT.csv,"owner divergence, zero flux, calibrated current requirements",C2_zero_owner_flux,true,true,false,2026-06-13T17:01:46.916793+00:00
q_zero_contract,source-intake/mts_residuals/P8_q_retained_zero_conditions_CONTRACT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_q_retained_zero_conditions_CONTRACT.csv,legal zero routes for retained source/force currents,Q1_gauge_or_topological,true,true,false,2026-06-13T17:01:46.916793+00:00
