source_id,relative_path,needle,role,exists,needle_found,generated_utc
SRC1169_0_1168_next,source-intake/mts_residuals/P8_Y5_R10_1168_NEXT_TARGET.csv,NEXT1168_0_1169,handoff requiring parent source/top-class owner or closed-weight zero theorem.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_1_1168_summary,source-intake/mts_residuals/P8_Y5_BRR545_1168_VALIDATION.csv,V1168_SUMMARY,1168 validation summary.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_2_1168_contract,source-intake/mts_residuals/P8_Y5_R10_1168_SIGMA_PHI_SOURCE_CONTRACT.csv,SPC1168_2_Sigma_C_FLRW,missing FLRW/top-class source selector.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_3_1168_phi,source-intake/mts_residuals/P8_Y5_R10_1168_SIGMA_PHI_SOURCE_CONTRACT.csv,SPC1168_3_Phi_C,missing Phi_C boundary flux owner.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_4_1168_dSFeps,source-intake/mts_residuals/P8_Y5_R10_1168_DSF_EPS_BOUND_ROWS.csv,DSF1168_1_zero_route,closed-weight zero route staged in 1168.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_5_1168_gate,source-intake/mts_residuals/P8_Y5_R10_1168_CLAIM_GATES.csv,G1168_2_same_law_selector,same-law local-zero/FLRW-active selector remains blocked.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_6_274_decomp,274-lifted-C-sector-form-holonomy-route.md,J_C = dB_C + J_C^{top},lifted-C exact plus top-class decomposition.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_7_274_top,274-lifted-C-sector-form-holonomy-route.md,integral_D J_C^{top} != 0,FLRW/nonlocal top-class activity anchor.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_8_275_JC,275-JC-three-form-memory-current-from-Q.md,J_C = det(Q_coh) Omega_D / V_D,J_C determinant/volume definition.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_9_275_integral,275-JC-three-form-memory-current-from-Q.md,integral_D J_C = (N/u3)^3,FLRW amplitude/readout shape.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_10_275_derivative,275-JC-three-form-memory-current-from-Q.md,d/dN integral_D J_C = 3N^2/u3^3,FLRW activation derivative shape.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_11_1020_weight,1020-Y5-R10-boundary-cohomology-domain-certificate-or-source-pack-first-row.md,BDC1020_4_kernel_weight,closed-weight or derivative-bound requirement.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_12_1020_stokes,1020-Y5-R10-boundary-cohomology-domain-certificate-or-source-pack-first-row.md,ETB1020_1_weighted_Stokes_identity,weighted Stokes identity with derivative residual.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_13_1020_zero,1020-Y5-R10-boundary-cohomology-domain-certificate-or-source-pack-first-row.md,ETB1020_2_zero_conditions,exact zero hypotheses.,True,True,2026-06-15T01:09:01.497808+00:00
SRC1169_14_207_bianchi,207-domain-projector-action-and-Bianchi-identity.md,Bianchi closure can be made formal;,Bianchi/Ward guard for any source/flux route.,True,True,2026-06-15T01:09:01.497808+00:00
