source_id,path,exists,role,valid_for_claim
doc_3419,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3419-Y5-R2FR-Khat-Gamma-eff-metric-response-lock-and-Helmholtz-audit-under-AX1090.md,True,declares boundary/projector/spurion leakage as next alpha3 danger,False
next_3419,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3419_NEXT_TARGET.csv,True,selects 3420 target,False
helmholtz_3419,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3419_HELMHOLTZ_AUDIT.csv,True,bulk Helmholtz closed only in adopted parent-response branch; boundary/projector remains open,False
qloc_consequence_3419,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3419_QLOC_CONSEQUENCE.csv,True,q_loc consequence of Khat response branch and remaining boundary/projector dependencies,False
branch_split_3419,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3419_METRIC_RESPONSE_BRANCH_SPLIT.csv,True,old Khat failure vs explicit parent-response branch,False
boundary_audit_3418,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3418_BOUNDARY_PROJECTOR_AUDIT.csv,True,"boundary, harmonic, projector and hidden-vector leak taxonomy",False
vector_zero_3418,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3418_VECTOR_ZERO_DERIVATION.csv,True,conditional q_loc vector-zero theorem clauses,False
alpha_rows_3418,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3418_ALPHA_VECTOR_BOUND_ROWS.csv,True,"alpha-vector product bound fallback, including alpha3 limit",False
ward_gates_3417,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3417_WARD_ZERO_RESCUE_GATES.csv,True,Ward-zero rescue gate naming Euler/boundary/projector vector zero,False
hidden_stress_3416,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3416_HIDDEN_STRESS_EXCLUSION_GATE.csv,True,safe-class gate for public Hilbert stress and q_loc T_GK,False
em_poynting_3382,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3382_EM_POYNTING_HILBERT_STRESS_CHAIN.csv,True,public Maxwell/Poynting Hilbert stress chain,False
maxwell_route_3339,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3339_MAXWELL_EM_STRESS_COUPLING_ROUTE.csv,True,Maxwell/current/Hodge coupling route and hidden-current guard,False
pim_projector_stress,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_PiM_projector_variation_stress_CONTRACT.csv,True,projector variation stress contract,False
pim_projector_algebra,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_PiM_parent_symplectic_projector_algebra_CONTRACT.csv,True,projector algebra contract,False
frame_doc_1003,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1003-Y5-R10-Bref-covariant-frame-theorem-or-Delta-ref-frame-profile-row.md,True,preferred-frame leakage and covariant-frame guard,False
projector_doc_1014,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1014-Y5-R10-PiM-commutator-projector-variation-zero-or-coefficient-bound.md,True,Pi_M/projector commutator and stress guard,False
hilbert_boundary_doc_1015,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1015-Y5-R10-topological-Hilbert-equality-or-R_eq-bound-runner.md,True,topological-Hilbert equality and boundary-zero flux guard,False
